"leccionId","titulo","descripcion","duracionMin","numero"
"L000123","Ejemplo práctico guiado - Autenticación y permisos","Ejemplo práctico guiado - Autenticación y permisos - Contenido teórico y práctico.",10,3
"L000124","Ejercicio para el alumno - Autenticación y permisos","Ejercicio para el alumno - Autenticación y permisos - Contenido teórico y práctico.",13,4
"L000125","Installation and setup - D3.js Concepts","Installation and setup - D3.js Concepts - Theoretical and practical content.",26,1
"L000126","Concepts and theory - D3.js Concepts","Concepts and theory - D3.js Concepts - Theoretical and practical content.",22,2
"L000127","Guided practical example - D3.js Concepts","Guided practical example - D3.js Concepts - Theoretical and practical content.",23,3
"L000128","Exercise for the student - D3.js Concepts","Exercise for the student - D3.js Concepts - Theoretical and practical content.",28,4
"L000129","Installation and setup - DOM Manipulation with Data","Installation and setup - DOM Manipulation with Data - Theoretical and practical content.",17,1
"L000130","Concepts and theory - DOM Manipulation with Data","Concepts and theory - DOM Manipulation with Data - Theoretical and practical content.",12,2
"L000131","Guided practical example - DOM Manipulation with Data","Guided practical example - DOM Manipulation with Data - Theoretical and practical content.",29,3
"L000132","Installation and setup - Interactive Charts","Installation and setup - Interactive Charts - Theoretical and practical content.",21,1
"L000133","Concepts and theory - Interactive Charts","Concepts and theory - Interactive Charts - Theoretical and practical content.",10,2
"L000134","Guided practical example - Interactive Charts","Guided practical example - Interactive Charts - Theoretical and practical content.",15,3
"L000135","Exercise for the student - Interactive Charts","Exercise for the student - Interactive Charts - Theoretical and practical content.",28,4
"L000136","Installation and setup - Visualization Projects","Installation and setup - Visualization Projects - Theoretical and practical content.",19,1
"L000137","Concepts and theory - Visualization Projects","Concepts and theory - Visualization Projects - Theoretical and practical content.",29,2
"L000138","Guided practical example - Visualization Projects","Guided practical example - Visualization Projects - Theoretical and practical content.",26,3
"L000139","Installation and setup - Testing Principles","Installation and setup - Testing Principles - Theoretical and practical content.",25,1
"L000140","Concepts and theory - Testing Principles","Concepts and theory - Testing Principles - Theoretical and practical content.",16,2
"L000141","Guided practical example - Testing Principles","Guided practical example - Testing Principles - Theoretical and practical content.",30,3
"L000142","Exercise for the student - Testing Principles","Exercise for the student - Testing Principles - Theoretical and practical content.",20,4
"L000143","Installation and setup - Unit Testing","Installation and setup - Unit Testing - Theoretical and practical content.",24,1
"L000144","Concepts and theory - Unit Testing","Concepts and theory - Unit Testing - Theoretical and practical content.",21,2
"L000145","Guided practical example - Unit Testing","Guided practical example - Unit Testing - Theoretical and practical content.",8,3
"L000146","Installation and setup - Integration Testing","Installation and setup - Integration Testing - Theoretical and practical content.",18,1
"L000147","Concepts and theory - Integration Testing","Concepts and theory - Integration Testing - Theoretical and practical content.",8,2
"L000148","Guided practical example - Integration Testing","Guided practical example - Integration Testing - Theoretical and practical content.",13,3
"L000149","Installation and setup - Automation","Installation and setup - Automation - Theoretical and practical content.",12,1
"L000150","Concepts and theory - Automation","Concepts and theory - Automation - Theoretical and practical content.",27,2
"L000151","Guided practical example - Automation","Guided practical example - Automation - Theoretical and practical content.",10,3
"L000152","Exercise for the student - Automation","Exercise for the student - Automation - Theoretical and practical content.",25,4
"L000153","Instalación y configuración - Introducción a Kubernetes","Instalación y configuración - Introducción a Kubernetes - Contenido teórico y práctico.",5,1
"L000154","Conceptos y teoría - Introducción a Kubernetes","Conceptos y teoría - Introducción a Kubernetes - Contenido teórico y práctico.",14,2
"L000155","Ejemplo práctico guiado - Introducción a Kubernetes","Ejemplo práctico guiado - Introducción a Kubernetes - Contenido teórico y práctico.",13,3
"L000156","Instalación y configuración - Deployments y services","Instalación y configuración - Deployments y services - Contenido teórico y práctico.",29,1
"L000157","Conceptos y teoría - Deployments y services","Conceptos y teoría - Deployments y services - Contenido teórico y práctico.",13,2
"L000158","Ejemplo práctico guiado - Deployments y services","Ejemplo práctico guiado - Deployments y services - Contenido teórico y práctico.",27,3
"L000159","Ejercicio para el alumno - Deployments y services","Ejercicio para el alumno - Deployments y services - Contenido teórico y práctico.",19,4
"L000160","Instalación y configuración - Escalado y salud","Instalación y configuración - Escalado y salud - Contenido teórico y práctico.",11,1
"L000161","Conceptos y teoría - Escalado y salud","Conceptos y teoría - Escalado y salud - Contenido teórico y práctico.",22,2
"L000162","Ejemplo práctico guiado - Escalado y salud","Ejemplo práctico guiado - Escalado y salud - Contenido teórico y práctico.",17,3
"L000163","Instalación y configuración - Monitorización","Instalación y configuración - Monitorización - Contenido teórico y práctico.",25,1
"L000164","Conceptos y teoría - Monitorización","Conceptos y teoría - Monitorización - Contenido teórico y práctico.",22,2
"L000165","Ejemplo práctico guiado - Monitorización","Ejemplo práctico guiado - Monitorización - Contenido teórico y práctico.",8,3
"L000166","Installation and setup - Git Fundamentals","Installation and setup - Git Fundamentals - Theoretical and practical content.",12,1
"L000167","Concepts and theory - Git Fundamentals","Concepts and theory - Git Fundamentals - Theoretical and practical content.",7,2
"L000168","Guided practical example - Git Fundamentals","Guided practical example - Git Fundamentals - Theoretical and practical content.",23,3
"L000169","Exercise for the student - Git Fundamentals","Exercise for the student - Git Fundamentals - Theoretical and practical content.",25,4
"L000170","Installation and setup - Branches and Workflows","Installation and setup - Branches and Workflows - Theoretical and practical content.",26,1
"L000171","Concepts and theory - Branches and Workflows","Concepts and theory - Branches and Workflows - Theoretical and practical content.",5,2
"L000172","Guided practical example - Branches and Workflows","Guided practical example - Branches and Workflows - Theoretical and practical content.",30,3
"L000173","Installation and setup - Rebase and Merges","Installation and setup - Rebase and Merges - Theoretical and practical content.",14,1
"L000174","Concepts and theory - Rebase and Merges","Concepts and theory - Rebase and Merges - Theoretical and practical content.",20,2
"L000175","Guided practical example - Rebase and Merges","Guided practical example - Rebase and Merges - Theoretical and practical content.",24,3
"L000176","Installation et configuration - Introduction à Python","Installation et configuration - Introduction à Python - Contenu théorique et pratique.",21,1
"L000177","Concepts et théorie - Introduction à Python","Concepts et théorie - Introduction à Python - Contenu théorique et pratique.",13,2
"L000178","Exemple pratique guidé - Introduction à Python","Exemple pratique guidé - Introduction à Python - Contenu théorique et pratique.",13,3
"L000179","Exercice pour l'étudiant - Introduction à Python","Exercice pour l'étudiant - Introduction à Python - Contenu théorique et pratique.",30,4
"L000180","Installation et configuration - Structures de données et collections","Installation et configuration - Structures de données et collections - Contenu théorique et pratique.",14,1
"L000181","Concepts et théorie - Structures de données et collections","Concepts et théorie - Structures de données et collections - Contenu théorique et pratique.",20,2
"L000182","Exemple pratique guidé - Structures de données et collections","Exemple pratique guidé - Structures de données et collections - Contenu théorique et pratique.",13,3
"L000183","Exercice pour l'étudiant - Structures de données et collections","Exercice pour l'étudiant - Structures de données et collections - Contenu théorique et pratique.",30,4
"L000184","Installation et configuration - Programmation orientée objet","Installation et configuration - Programmation orientée objet - Contenu théorique et pratique.",16,1
"L000185","Concepts et théorie - Programmation orientée objet","Concepts et théorie - Programmation orientée objet - Contenu théorique et pratique.",9,2
"L000186","Exemple pratique guidé - Programmation orientée objet","Exemple pratique guidé - Programmation orientée objet - Contenu théorique et pratique.",29,3
"L000187","Instalación y configuración - Fundamentos AWS","Instalación y configuración - Fundamentos AWS - Contenido teórico y práctico.",27,1
"L000188","Conceptos y teoría - Fundamentos AWS","Conceptos y teoría - Fundamentos AWS - Contenido teórico y práctico.",13,2
"L000189","Ejemplo práctico guiado - Fundamentos AWS","Ejemplo práctico guiado - Fundamentos AWS - Contenido teórico y práctico.",7,3
"L000190","Ejercicio para el alumno - Fundamentos AWS","Ejercicio para el alumno - Fundamentos AWS - Contenido teórico y práctico.",11,4
"L000191","Instalación y configuración - Compute y almacenamiento","Instalación y configuración - Compute y almacenamiento - Contenido teórico y práctico.",9,1
"L000192","Conceptos y teoría - Compute y almacenamiento","Conceptos y teoría - Compute y almacenamiento - Contenido teórico y práctico.",27,2
"L000193","Ejemplo práctico guiado - Compute y almacenamiento","Ejemplo práctico guiado - Compute y almacenamiento - Contenido teórico y práctico.",28,3
"L000194","Ejercicio para el alumno - Compute y almacenamiento","Ejercicio para el alumno - Compute y almacenamiento - Contenido teórico y práctico.",18,4
"L000195","Instalación y configuración - Bases de datos y redes","Instalación y configuración - Bases de datos y redes - Contenido teórico y práctico.",6,1
"L000196","Conceptos y teoría - Bases de datos y redes","Conceptos y teoría - Bases de datos y redes - Contenido teórico y práctico.",5,2
"L000197","Ejemplo práctico guiado - Bases de datos y redes","Ejemplo práctico guiado - Bases de datos y redes - Contenido teórico y práctico.",25,3
"L000198","Instalación y configuración - Widgets y layouts","Instalación y configuración - Widgets y layouts - Contenido teórico y práctico.",7,1
"L000199","Conceptos y teoría - Widgets y layouts","Conceptos y teoría - Widgets y layouts - Contenido teórico y práctico.",11,2
"L000200","Ejemplo práctico guiado - Widgets y layouts","Ejemplo práctico guiado - Widgets y layouts - Contenido teórico y práctico.",22,3
"L000201","Instalación y configuración - Gestión de estado","Instalación y configuración - Gestión de estado - Contenido teórico y práctico.",22,1
"L000202","Conceptos y teoría - Gestión de estado","Conceptos y teoría - Gestión de estado - Contenido teórico y práctico.",14,2
"L000203","Ejemplo práctico guiado - Gestión de estado","Ejemplo práctico guiado - Gestión de estado - Contenido teórico y práctico.",22,3
"L000204","Instalación y configuración - Integración con servicios","Instalación y configuración - Integración con servicios - Contenido teórico y práctico.",16,1
"L000205","Conceptos y teoría - Integración con servicios","Conceptos y teoría - Integración con servicios - Contenido teórico y práctico.",30,2
"L000206","Ejemplo práctico guiado - Integración con servicios","Ejemplo práctico guiado - Integración con servicios - Contenido teórico y práctico.",29,3
"L000207","Ejercicio para el alumno - Integración con servicios","Ejercicio para el alumno - Integración con servicios - Contenido teórico y práctico.",23,4
"L000208","Instalación y configuración - Manipulación con Pandas","Instalación y configuración - Manipulación con Pandas - Contenido teórico y práctico.",29,1
"L000209","Conceptos y teoría - Manipulación con Pandas","Conceptos y teoría - Manipulación con Pandas - Contenido teórico y práctico.",29,2
"L000210","Ejemplo práctico guiado - Manipulación con Pandas","Ejemplo práctico guiado - Manipulación con Pandas - Contenido teórico y práctico.",28,3
"L000211","Instalación y configuración - Limpieza de datos","Instalación y configuración - Limpieza de datos - Contenido teórico y práctico.",7,1
"L000212","Conceptos y teoría - Limpieza de datos","Conceptos y teoría - Limpieza de datos - Contenido teórico y práctico.",27,2
"L000213","Ejemplo práctico guiado - Limpieza de datos","Ejemplo práctico guiado - Limpieza de datos - Contenido teórico y práctico.",16,3
"L000214","Ejercicio para el alumno - Limpieza de datos","Ejercicio para el alumno - Limpieza de datos - Contenido teórico y práctico.",5,4
"L000215","Instalación y configuración - Agrupaciones y joins","Instalación y configuración - Agrupaciones y joins - Contenido teórico y práctico.",19,1
"L000216","Conceptos y teoría - Agrupaciones y joins","Conceptos y teoría - Agrupaciones y joins - Contenido teórico y práctico.",9,2
"L000217","Ejemplo práctico guiado - Agrupaciones y joins","Ejemplo práctico guiado - Agrupaciones y joins - Contenido teórico y práctico.",28,3
"L000218","Ejercicio para el alumno - Agrupaciones y joins","Ejercicio para el alumno - Agrupaciones y joins - Contenido teórico y práctico.",27,4
"L000219","Instalación y configuración - Visualización con Pandas","Instalación y configuración - Visualización con Pandas - Contenido teórico y práctico.",14,1
"L000220","Conceptos y teoría - Visualización con Pandas","Conceptos y teoría - Visualización con Pandas - Contenido teórico y práctico.",29,2
"L000221","Ejemplo práctico guiado - Visualización con Pandas","Ejemplo práctico guiado - Visualización con Pandas - Contenido teórico y práctico.",22,3
"L000222","Instalación y configuración - Principios de arquitectura","Instalación y configuración - Principios de arquitectura - Contenido teórico y práctico.",10,1
"L000223","Conceptos y teoría - Principios de arquitectura","Conceptos y teoría - Principios de arquitectura - Contenido teórico y práctico.",23,2
"L000224","Ejemplo práctico guiado - Principios de arquitectura","Ejemplo práctico guiado - Principios de arquitectura - Contenido teórico y práctico.",15,3
"L000225","Instalación y configuración - Patrones arquitectónicos","Instalación y configuración - Patrones arquitectónicos - Contenido teórico y práctico.",24,1
"L000226","Conceptos y teoría - Patrones arquitectónicos","Conceptos y teoría - Patrones arquitectónicos - Contenido teórico y práctico.",9,2
"L000227","Ejemplo práctico guiado - Patrones arquitectónicos","Ejemplo práctico guiado - Patrones arquitectónicos - Contenido teórico y práctico.",9,3
"L000228","Ejercicio para el alumno - Patrones arquitectónicos","Ejercicio para el alumno - Patrones arquitectónicos - Contenido teórico y práctico.",22,4
"L000229","Instalación y configuración - Diseño de sistemas","Instalación y configuración - Diseño de sistemas - Contenido teórico y práctico.",15,1
"L000230","Conceptos y teoría - Diseño de sistemas","Conceptos y teoría - Diseño de sistemas - Contenido teórico y práctico.",6,2
"L000231","Ejemplo práctico guiado - Diseño de sistemas","Ejemplo práctico guiado - Diseño de sistemas - Contenido teórico y práctico.",11,3
"L000232","Instalación y configuración - Caso práctico","Instalación y configuración - Caso práctico - Contenido teórico y práctico.",20,1
"L000233","Conceptos y teoría - Caso práctico","Conceptos y teoría - Caso práctico - Contenido teórico y práctico.",5,2
"L000234","Ejemplo práctico guiado - Caso práctico","Ejemplo práctico guiado - Caso práctico - Contenido teórico y práctico.",10,3
"L000235","Ejercicio para el alumno - Caso práctico","Ejercicio para el alumno - Caso práctico - Contenido teórico y práctico.",8,4
"L000236","Instalación y configuración - Aspectos avanzados de ciberseguridad","Instalación y configuración - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",23,1
"L000237","Conceptos y teoría - Aspectos avanzados de ciberseguridad","Conceptos y teoría - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",28,2
"L000238","Ejemplo práctico guiado - Aspectos avanzados de ciberseguridad","Ejemplo práctico guiado - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",12,3
"L000239","Ejercicio para el alumno - Aspectos avanzados de ciberseguridad","Ejercicio para el alumno - Aspectos avanzados de ciberseguridad - Contenido teórico y práctico.",22,4
"L000240","Instalación y configuración - Auditoría","Instalación y configuración - Auditoría - Contenido teórico y práctico.",8,1
"L000241","Conceptos y teoría - Auditoría","Conceptos y teoría - Auditoría - Contenido teórico y práctico.",10,2
"L000242","Ejemplo práctico guiado - Auditoría","Ejemplo práctico guiado - Auditoría - Contenido teórico y práctico.",13,3
"L000243","Instalación y configuración - Herramientas y mitigación","Instalación y configuración - Herramientas y mitigación - Contenido teórico y práctico.",6,1
"L000244","Conceptos y teoría - Herramientas y mitigación","Conceptos y teoría - Herramientas y mitigación - Contenido teórico y práctico.",9,2
"L000245","Ejemplo práctico guiado - Herramientas y mitigación","Ejemplo práctico guiado - Herramientas y mitigación - Contenido teórico y práctico.",16,3
"L000246","Ejercicio para el alumno - Herramientas y mitigación","Ejercicio para el alumno - Herramientas y mitigación - Contenido teórico y práctico.",21,4
"L000247","Instalación y configuración - Respuesta ante incidentes","Instalación y configuración - Respuesta ante incidentes - Contenido teórico y práctico.",11,1
"L000248","Conceptos y teoría - Respuesta ante incidentes","Conceptos y teoría - Respuesta ante incidentes - Contenido teórico y práctico.",7,2
"L000249","Ejemplo práctico guiado - Respuesta ante incidentes","Ejemplo práctico guiado - Respuesta ante incidentes - Contenido teórico y práctico.",7,3
